2025-11-17T14:20:23: INFO:     127.0.0.1:49199 - "GET /api/v2/twg/boards HTTP/1.1" 200 OK
2025-11-17T14:21:05: INFO:     127.0.0.1:49202 - "GET /api/v2/leads/status HTTP/1.1" 500 Internal Server Error
2025-11-17T14:23:22: INFO:     127.0.0.1:49221 - "GET /api/v2/leads/status HTTP/1.1" 500 Internal Server Error
2025-11-17T14:25:47: INFO:     127.0.0.1:49247 - "GET /api/v2/leads/status HTTP/1.1" 500 Internal Server Error
2025-11-17T14:28:03: INFO:     127.0.0.1:49263 - "GET /api/v2/leads/status?days=30 HTTP/1.1" 500 Internal Server Error
2025-11-17T14:28:18: INFO:     127.0.0.1:49269 - "GET /api/v2/leads/status?days=90 HTTP/1.1" 500 Internal Server Error
2025-11-17T14:28:33: INFO:     127.0.0.1:49274 - "GET /api/v2/leads/status?days=90 HTTP/1.1" 200 OK
2025-11-17T15:04:54: INFO:     127.0.0.1:49896 - "GET /api/v2/events/performance HTTP/1.1" 200 OK
2025-11-17T15:05:28: INFO:     127.0.0.1:49901 - "GET /api/v2/g2-zones/summary HTTP/1.1" 200 OK
2025-11-17T15:05:52: INFO:     127.0.0.1:49906 - "GET /api/v2/nominations HTTP/1.1" 200 OK
2025-11-17T15:14:37: INFO:     127.0.0.1:49967 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025 HTTP/1.1" 200 OK
2025-11-17T15:14:37: INFO:     127.0.0.1:49968 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025 HTTP/1.1" 200 OK
2025-11-17T15:14:49: INFO:     127.0.0.1:49972 - "GET /api/v2/analytics/cbsa?limit=10 HTTP/1.1" 500 Internal Server Error
2025-11-17T15:14:49: INFO:     127.0.0.1:49973 - "GET /api/v2/analytics/schools?limit=15 HTTP/1.1" 200 OK
2025-11-17T15:14:49: INFO:     127.0.0.1:49974 - "GET /api/v2/analytics/segments HTTP/1.1" 200 OK
