CMD,BDE,BN,CO,STN
USAREC,1ST BDE,1A - ALBANY,1A1 - ALBANY,1A1D - ALBANY
USAREC,1ST BDE,1A - ALBANY,1A1 - ALBANY,1A1G - JOHNSTOWN
USAREC,1ST BDE,1A - ALBANY,1A1 - ALBANY,1A1N - SARATOGA SPRINGS
USAREC,1ST BDE,1A - ALBANY,1A1 - ALBANY,1A1O - ONEONTA
USAREC,1ST BDE,1A - ALBANY,1A1 - ALBANY,1A1Q - SCHENECTADY
USAREC,1ST BDE,1A - ALBANY,1A1 - ALBANY,1A1W - CLIFTON PARK
USAREC,1ST BDE,1A - ALBANY,1A3 - BURLINGTON,1A3B - BARRE
USAREC,1ST BDE,1A - ALBANY,1A3 - BURLINGTON,1A3D - BURLINGTON
USAREC,1ST BDE,1A - ALBANY,1A3 - BURLINGTON,1A3L - GLENS FALLS
USAREC,1ST BDE,1A - ALBANY,1A3 - BURLINGTON,1A3P - PLATTSBURGH
USAREC,1ST BDE,1A - ALBANY,1A3 - BURLINGTON,1A3V - RUTLAND
USAREC,1ST BDE,1A - ALBANY,1A4 - SPRINGFIELD,1A4F - FITCHBURG
USAREC,1ST BDE,1A - ALBANY,1A4 - SPRINGFIELD,1A4H - SOUTH HADLEY
USAREC,1ST BDE,1A - ALBANY,1A4 - SPRINGFIELD,1A4T - SOUTHBRIDGE
USAREC,1ST BDE,1A - ALBANY,1A4 - SPRINGFIELD,1A4V - WORCESTER
USAREC,1ST BDE,1A - ALBANY,1A4 - SPRINGFIELD,1A4W - SPRINGFIELD MA
USAREC,1ST BDE,1A - ALBANY,1A5 - HARTFORD,1A5E - ENFIELD
USAREC,1ST BDE,1A - ALBANY,1A5 - HARTFORD,1A5F - HARTFORD
USAREC,1ST BDE,1A - ALBANY,1A5 - HARTFORD,1A5H - MANCHESTER CT
USAREC,1ST BDE,1A - ALBANY,1A5 - HARTFORD,1A5J - BRISTOL CT
USAREC,1ST BDE,1A - ALBANY,1A5 - HARTFORD,1A5L - MANSFIELD
USAREC,1ST BDE,1A - ALBANY,1A5 - HARTFORD,1A5T - TORRINGTON
USAREC,1ST BDE,1A - ALBANY,1A5 - HARTFORD,1A5W - WATERBURY
USAREC,1ST BDE,1A - ALBANY,1A6 - NEW HAVEN,1A6D - BRIDGEPORT CT
USAREC,1ST BDE,1A - ALBANY,1A6 - NEW HAVEN,1A6F - STAMFORD
USAREC,1ST BDE,1A - ALBANY,1A6 - NEW HAVEN,1A6K - NORWICH CT
USAREC,1ST BDE,1A - ALBANY,1A6 - NEW HAVEN,1A6L - MIDDLETOWN CT
USAREC,1ST BDE,1A - ALBANY,1A6 - NEW HAVEN,1A6N - NEW HAVEN
USAREC,1ST BDE,1A - ALBANY,1A6 - NEW HAVEN,1A6P - GROTON
USAREC,1ST BDE,1A - ALBANY,1A6 - NEW HAVEN,1A6R - DANBURY
USAREC,1ST BDE,1A - ALBANY,1A6 - NEW HAVEN,1A6W - ANSONIA
USAREC,1ST BDE,1A - ALBANY,1A8 - EUROPE,1A8G - GRAFENWOEHR
USAREC,1ST BDE,1A - ALBANY,1A8 - EUROPE,1A8H - WIESBADEN
USAREC,1ST BDE,1A - ALBANY,1A8 - EUROPE,1A8J - KAISERSLAUTERN
USAREC,1ST BDE,1A - ALBANY,1A8 - EUROPE,1A8M - STUTTGART
USAREC,1ST BDE,1A - ALBANY,1A8 - EUROPE,1A8V - VICENZA
USAREC,1ST BDE,1A - ALBANY,1A9 - BEAR MOUNTAIN,1A9A - KINGSTON
USAREC,1ST BDE,1A - ALBANY,1A9 - BEAR MOUNTAIN,1A9D - MIDDLETOWN NY
USAREC,1ST BDE,1A - ALBANY,1A9 - BEAR MOUNTAIN,1A9K - SPRING VALLEY
USAREC,1ST BDE,1A - ALBANY,1A9 - BEAR MOUNTAIN,1A9N - NEW WINDSOR
USAREC,1ST BDE,1A - ALBANY,1A9 - BEAR MOUNTAIN,1A9R - POUGHKEEPSIE
USAREC,1ST BDE,1A - ALBANY,1A9 - BEAR MOUNTAIN,1A9S - PEEKSKILL
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B1 - COLUMBIA MD,1B1A - ROCKVILLE
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B1 - COLUMBIA MD,1B1C - COLUMBIA MD
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B1 - COLUMBIA MD,1B1D - GLEN BURNIE
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B1 - COLUMBIA MD,1B1G - GAITHERSBURG
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B1 - COLUMBIA MD,1B1L - ANNAPOLIS
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B1 - COLUMBIA MD,1B1W - SILVER SPRING - DOWNTOWN
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B2 - DELMARVA-SEAFORD,1B2A - GEORGETOWN
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B2 - DELMARVA-SEAFORD,1B2B - SALISBURY MD
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B2 - DELMARVA-SEAFORD,1B2C - EASTON MD
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B2 - DELMARVA-SEAFORD,1B2D - DOVER DE
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B2 - DELMARVA-SEAFORD,1B2K - NORTH EAST
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B2 - DELMARVA-SEAFORD,1B2N - NEWARK DE-M
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B2 - DELMARVA-SEAFORD,1B2W - WILMINGTON DE
USAREC,1ST BDE,1B - WASHINGTON (BALT),1B3 - BALTIMORE,1B3D - BEL AIR
