rsid,display_name,echelon,parent_rsid,uic
USAREC,USAREC,USAREC,,
1,1ST BDE,BDE,USAREC,
1A,1A - ALBANY,BN,1,
1A1,1A1 - ALBANY,CO,1A,
1A1D,1A1D - ALBANY,STN,1A1,
1A1G,1A1G - JOHNSTOWN,STN,1A1,
1A1N,1A1N - SARATOGA SPRINGS,STN,1A1,
1A1O,1A1O - ONEONTA,STN,1A1,
1A1Q,1A1Q - SCHENECTADY,STN,1A1,
1A1W,1A1W - CLIFTON PARK,STN,1A1,
1A3,1A3 - BURLINGTON,CO,1A,
1A3B,1A3B - BARRE,STN,1A3,
1A3D,1A3D - BURLINGTON,STN,1A3,
1A3L,1A3L - GLENS FALLS,STN,1A3,
1A3P,1A3P - PLATTSBURGH,STN,1A3,
1A3V,1A3V - RUTLAND,STN,1A3,
1A4,1A4 - SPRINGFIELD,CO,1A,
1A4F,1A4F - FITCHBURG,STN,1A4,
1A4H,1A4H - SOUTH HADLEY,STN,1A4,
1A4T,1A4T - SOUTHBRIDGE,STN,1A4,
1A4V,1A4V - WORCESTER,STN,1A4,
1A4W,1A4W - SPRINGFIELD MA,STN,1A4,
1A5,1A5 - HARTFORD,CO,1A,
1A5E,1A5E - ENFIELD,STN,1A5,
1A5F,1A5F - HARTFORD,STN,1A5,
1A5H,1A5H - MANCHESTER CT,STN,1A5,
1A5J,1A5J - BRISTOL CT,STN,1A5,
1A5L,1A5L - MANSFIELD,STN,1A5,
1A5T,1A5T - TORRINGTON,STN,1A5,
1A5W,1A5W - WATERBURY,STN,1A5,
1A6,1A6 - NEW HAVEN,CO,1A,
1A6D,1A6D - BRIDGEPORT CT,STN,1A6,
1A6F,1A6F - STAMFORD,STN,1A6,
1A6K,1A6K - NORWICH CT,STN,1A6,
1A6L,1A6L - MIDDLETOWN CT,STN,1A6,
1A6N,1A6N - NEW HAVEN,STN,1A6,
1A6P,1A6P - GROTON,STN,1A6,
1A6R,1A6R - DANBURY,STN,1A6,
1A6W,1A6W - ANSONIA,STN,1A6,
1A8,1A8 - EUROPE,CO,1A,
