echelon,rsid,display_name,parent_rsid,uic
USAREC,USAREC,USAREC,,
BDE,1,1ST BDE,USAREC,
BN,1A,1A - ALBANY,1,
CO,1A1,1A1 - ALBANY,1A,
STN,1A1D,1A1D - ALBANY,1A1,
STN,1A1G,1A1G - JOHNSTOWN,1A1,
STN,1A1N,1A1N - SARATOGA SPRINGS,1A1,
STN,1A1O,1A1O - ONEONTA,1A1,
STN,1A1Q,1A1Q - SCHENECTADY,1A1,
STN,1A1W,1A1W - CLIFTON PARK,1A1,
CO,1A3,1A3 - BURLINGTON,1A,
STN,1A3B,1A3B - BARRE,1A3,
STN,1A3D,1A3D - BURLINGTON,1A3,
STN,1A3L,1A3L - GLENS FALLS,1A3,
STN,1A3P,1A3P - PLATTSBURGH,1A3,
STN,1A3V,1A3V - RUTLAND,1A3,
CO,1A4,1A4 - SPRINGFIELD,1A,
STN,1A4F,1A4F - FITCHBURG,1A4,
STN,1A4H,1A4H - SOUTH HADLEY,1A4,
STN,1A4T,1A4T - SOUTHBRIDGE,1A4,
STN,1A4V,1A4V - WORCESTER,1A4,
STN,1A4W,1A4W - SPRINGFIELD MA,1A4,
CO,1A5,1A5 - HARTFORD,1A,
STN,1A5E,1A5E - ENFIELD,1A5,
STN,1A5F,1A5F - HARTFORD,1A5,
STN,1A5H,1A5H - MANCHESTER CT,1A5,
STN,1A5J,1A5J - BRISTOL CT,1A5,
STN,1A5L,1A5L - MANSFIELD,1A5,
STN,1A5T,1A5T - TORRINGTON,1A5,
STN,1A5W,1A5W - WATERBURY,1A5,
CO,1A6,1A6 - NEW HAVEN,1A,
STN,1A6D,1A6D - BRIDGEPORT CT,1A6,
STN,1A6F,1A6F - STAMFORD,1A6,
STN,1A6K,1A6K - NORWICH CT,1A6,
STN,1A6L,1A6L - MIDDLETOWN CT,1A6,
STN,1A6N,1A6N - NEW HAVEN,1A6,
STN,1A6P,1A6P - GROTON,1A6,
STN,1A6R,1A6R - DANBURY,1A6,
STN,1A6W,1A6W - ANSONIA,1A6,
CO,1A8,1A8 - EUROPE,1A,
STN,1A8G,1A8G - GRAFENWOEHR,1A8,
STN,1A8H,1A8H - WIESBADEN,1A8,
STN,1A8J,1A8J - KAISERSLAUTERN,1A8,
STN,1A8M,1A8M - STUTTGART,1A8,
STN,1A8V,1A8V - VICENZA,1A8,
CO,1A9,1A9 - BEAR MOUNTAIN,1A,
STN,1A9A,1A9A - KINGSTON,1A9,
STN,1A9D,1A9D - MIDDLETOWN NY,1A9,
STN,1A9K,1A9K - SPRING VALLEY,1A9,
STN,1A9N,1A9N - NEW WINDSOR,1A9,
STN,1A9R,1A9R - POUGHKEEPSIE,1A9,
STN,1A9S,1A9S - PEEKSKILL,1A9,
BN,1B,1B - WASHINGTON (BALT),1,
CO,1B1,1B1 - COLUMBIA MD,1B,
STN,1B1A,1B1A - ROCKVILLE,1B1,
STN,1B1C,1B1C - COLUMBIA MD,1B1,
STN,1B1D,1B1D - GLEN BURNIE,1B1,
STN,1B1G,1B1G - GAITHERSBURG,1B1,
STN,1B1L,1B1L - ANNAPOLIS,1B1,
STN,1B1W,1B1W - SILVER SPRING - DOWNTOWN,1B1,
CO,1B2,1B2 - DELMARVA-SEAFORD,1B,
STN,1B2A,1B2A - GEORGETOWN,1B2,
STN,1B2B,1B2B - SALISBURY MD,1B2,
STN,1B2C,1B2C - EASTON MD,1B2,
STN,1B2D,1B2D - DOVER DE,1B2,
STN,1B2K,1B2K - NORTH EAST,1B2,
STN,1B2N,1B2N - NEWARK DE-M,1B2,
STN,1B2W,1B2W - WILMINGTON DE,1B2,
CO,1B3,1B3 - BALTIMORE,1B,
STN,1B3D,1B3D - BEL AIR,1B3,
STN,1B3G,1B3G - ROSEDALE,1B3,
STN,1B3H,1B3H - CATONSVILLE,1B3,
STN,1B3M,1B3M - MONDAWMIN MALL,1B3,
STN,1B3R,1B3R - TOWSON,1B3,
STN,1B3W,1B3W - WESTMINSTER,1B3,
CO,1B5,1B5 - FREDERICK,1B,
STN,1B5D,1B5D - FREDERICK,1B5,
STN,1B5G,1B5G - HAGERSTOWN,1B5,
STN,1B5H,1B5H - FAIRFAX,1B5,
STN,1B5J,1B5J - STERLING,1B5,
STN,1B5K,1B5K - MARTINSBURG,1B5,
STN,1B5P,1B5P - MANASSAS,1B5,
STN,1B5W,1B5W - WINCHESTER,1B5,
CO,1B6,1B6 - LANDOVER,1B,
STN,1B6B,1B6B - LAUREL,1B6,
STN,1B6D,1B6D - HYATTSVILLE,1B6,
STN,1B6E,1B6E - LEXINGTON PARK,1B6,
STN,1B6F,1B6F - WASHINGTON D.C.,1B6,
STN,1B6L,1B6L - OXON HILL,1B6,
STN,1B6M,1B6M - WALDORF,1B6,
STN,1B6R,1B6R - LARGO,1B6,
STN,1B6S,1B6S - PRINCE FREDERICK,1B6,
CO,1B7,1B7 - POTOMAC,1B,
STN,1B7B,1B7B - ALEXANDRIA,1B7,
STN,1B7C,1B7C - CULPEPPER,1B7,
STN,1B7F,1B7F - ARLINGTON,1B7,
STN,1B7H,1B7H - FREDERICKSBURG,1B7,
STN,1B7K,1B7K - FALLS CHURCH,1B7,
STN,1B7M,1B7M - SPRINGFIELD,1B7,
STN,1B7S,1B7S - STAFFORD,1B7,
STN,1B7W,1B7W - WOODBRIDGE,1B7,
BN,1D,1D - NEW ENGLAND,1,
CO,1D1,1D1 - MAINE,1D,
STN,1D1A,1D1A - AUBURN ME,1D1,
STN,1D1D,1D1D - AUGUSTA,1D1,
STN,1D1G,1D1G - BANGOR,1D1,
STN,1D1N,1D1N - SCARBOROUGH,1D1,
STN,1D1V,1D1V - WATERVILLE,1D1,
CO,1D2,1D2 - NEW HAMPSHIRE,1D,
STN,1D2A,1D2A - LITTLETON,1D2,
STN,1D2I,1D2I - DOVER,1D2,
STN,1D2J,1D2J - CONCORD,1D2,
STN,1D2K,1D2K - KEENE,1D2,
STN,1D2P,1D2P - MANCHESTER,1D2,
STN,1D2R,1D2R - AMHERST,1D2,
CO,1D4,1D4 - BOSTON METRO,1D,
STN,1D4A,1D4A - BOSTON METRO,1D4,
STN,1D4F,1D4F - MALDEN,1D4,
STN,1D4R,1D4R - ROSLINDALE,1D4,
STN,1D4T,1D4T - QUINCY,1D4,
CO,1D5,1D5 - NORTH SHORE,1D,
STN,1D5B,1D5B - LOWELL,1D5,
STN,1D5C,1D5C - WALTHAM,1D5,
STN,1D5E,1D5E - FRAMINGHAM,1D5,
STN,1D5G,1D5G - METHUEN,1D5,
